image_id,id,caption,image_path,question,answer
299675,328,A white square kitchen with tile floor that needs repairs,/Users/lexha/Downloads/archive/Images/COCO_train2014_000000299675.jpg,"From the camera's perspective, which way is the refrigerator facing?",right
513461,572,"A surfer, a woman, and a child walk on the beach.",/Users/lexha/Downloads/archive/Images/COCO_train2014_000000513461.jpg,"From the camera's perspective, which way is the serving board's nose facing?",left
18691,653,A few people sit on a dim transportation system.,/Users/lexha/Downloads/archive/Images/COCO_train2014_000000018691.jpg,"From the camera's perspective, which way is the face of the man reading the newspaper facing?",left
285579,668,"A person, protected from the rain by their umbrella, walks down the road.",/Users/lexha/Downloads/archive/Images/COCO_train2014_000000285579.jpg,"From the camera's perspective, where is the man holding an umbrella located relative to the center of the screen?",right
266366,674,The bathroom with a toilet has an interesting sink.,/Users/lexha/Downloads/archive/Images/COCO_train2014_000000266366.jpg,"From the camera's perspective, which way is the mirror facing?",left
226658,710,"Two women preparing food in a kitchen, one at the sink and one at the table",/Users/lexha/Downloads/archive/Images/COCO_train2014_000000226658.jpg,"From the camera's perspective, which way is the body of the person holding the bread facing?",left
293605,750,Two bicycles and a woman walking in front of a shop,/Users/lexha/Downloads/archive/Images/COCO_train2014_000000293605.jpg,"From the camera's perspective, which way is the person facing?",right
314265,928,"A toilet, sink, bathtub with shower, mirror and cabinet
",/Users/lexha/Downloads/archive/Images/COCO_train2014_000000314265.jpg,"From the camera's perspective, which way is the cabinet facing?",right
360334,1161,A man standing in the kitchen with his arms crossed,/Users/lexha/Downloads/archive/Images/COCO_train2014_000000360334.jpg,"From the camera's perspective, which of the person's two elbows is higher?",right
360306,1450,A man working at a kitchen counter in a room illuminated by sunlight.,/Users/lexha/Downloads/archive/Images/COCO_train2014_000000360306.jpg,"From the camera's perspective, is the baby biased towards the left or right side of the screen?",right
230843,1868,A young boy surfing  in low waves.,/Users/lexha/Downloads/archive/Images/COCO_train2014_000000230843.jpg,"From the camera's perspective, which way is the serving board's nose facing?",right
360306,2215,A man in shorts standing at the kitchen sink.,/Users/lexha/Downloads/archive/Images/COCO_train2014_000000360306.jpg,"From the camera's perspective, on which side is the bald man, based on the center of the screen—left or right?",left
360334,2418,young man with folded arms standing in the kitchen,/Users/lexha/Downloads/archive/Images/COCO_train2014_000000360334.jpg,"From the camera's perspective, which of the person's two ears is higher?",right
213532,2519,Black and white image of two children paying attention.,/Users/lexha/Downloads/archive/Images/COCO_train2014_000000213532.jpg,"From the camera's perspective, which way are the children's faces facing?",right
517565,2898,A wooden toilet seat sits open in an empty bathroom.,/Users/lexha/Downloads/archive/Images/COCO_train2014_000000517565.jpg,"From the camera's perspective, where on the screen is the toilet located?",left
213532,3467,A boy holding his arm around the shoulders of the girl sitting next to him.,/Users/lexha/Downloads/archive/Images/COCO_train2014_000000213532.jpg,"From the camera's perspective, which arm is the child sitting further back using to rest on the other boy's shoulder?",left
226658,3677,"A set table with silverware, glasses and a bottle of wine.",/Users/lexha/Downloads/archive/Images/COCO_train2014_000000226658.jpg,"From the camera's perspective, which way is the foremost cutlery facing?",right
376047,3716,A kitchen with new age appliances and equipment.,/Users/lexha/Downloads/archive/Images/COCO_train2014_000000376047.jpg,"From the camera's perspective, is the trash can on the left or right side relative to the center of the screen?",right
314265,3886,A small bathroom painted white with an empty shower.,/Users/lexha/Downloads/archive/Images/COCO_train2014_000000314265.jpg,"From the camera's perspective, is the bathtub on the left or right side relative to the center of the screen?",right
189278,4206,A chef opens up an oven in a kitchen.,/Users/lexha/Downloads/archive/Images/COCO_train2014_000000189278.jpg,"From the camera's perspective, on which side is the person's hand, based on the center of the screen—left or right?",left
360306,4402,A man in a kitchen with his family in a house.,/Users/lexha/Downloads/archive/Images/COCO_train2014_000000360306.jpg,"From the camera's perspective, on which side is the dog, based on the center of the screen—left or right?",left
293605,4635,A woman walks by a couple of shop windows.,/Users/lexha/Downloads/archive/Images/COCO_train2014_000000293605.jpg,"From the camera's perspective, on which side is the bicycle, based on the center of the screen—left or right?",left
230843,4817,A young boy is standing on a surfboard and riding a wave.,/Users/lexha/Downloads/archive/Images/COCO_train2014_000000230843.jpg,"From the camera's perspective, on which side is the boy, based on the center of the screen—left or right?",left
44816,5026,A toilet sits next to a sink in a bathroom.,/Users/lexha/Downloads/archive/Images/COCO_train2014_000000044816.jpg,"From the camera's perspective, on which side is the roll of toilet paper, based on the center of the screen—left or right?",right
429065,5373,A colorful tent is stationed on a bike lane.,/Users/lexha/Downloads/archive/Images/COCO_train2014_000000429065.jpg,"From the camera's perspective, which way is the person riding the bicycle facing?",right
285579,5453,A person walking outside in the rain with a green umbrella.,/Users/lexha/Downloads/archive/Images/COCO_train2014_000000285579.jpg,"From the camera's perspective, which way is the person walking facing?",left
180141,10426,Kids and their moms are singing karaoke at the table.,/Users/lexha/Downloads/archive/Images/COCO_train2014_000000180141.jpg,"From the camera's perspective, which direction the boy holding a mike, wearing a stripe Tshirt watching?",right
348595,10503,A young person with red and white face paint holds an umbrella.,/Users/lexha/Downloads/archive/Images/COCO_train2014_000000348595.jpg,"From the camera's perspective, which direction the man in the front watching?",left
14698,12780,A beautiful blonde woman rides a skateboard across a busy street.,/Users/lexha/Downloads/archive/Images/COCO_train2014_000000014698.jpg,"From the camera's perspective, which direction the woman wearing a pink Tshirt is riding?",left
